quarter_start_date,year,quarter,quarter_num,quarterly_births,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal
2019-07-01,2019,Q3,3,5940,81.44808833101844,132335.93082344,0.02101036551239763,0.03876351989306344
2019-10-01,2019,Q4,4,5576,81.62506467395869,132623.47997967803,0.00217287288832353,0.02469620895602766
2020-01-01,2020,Q1,1,5332,81.96347382385316,133173.32333104598,0.00414589747948388,0.03905033295337295
2020-04-01,2020,Q2,2,5155,82.03265929935942,133285.73510753002,8.441013085285415e-4,0.02833838302986292
2020-07-01,2020,Q3,3,5638,83.71110351644965,136012.85224871003,0.02046068275033158,0.02778475507287474
2020-10-01,2020,Q4,4,5330,85.89620776478725,139563.18486639895,0.02610292012108299,0.05232636700367854
2021-01-01,2021,Q1,1,5266,86.83379952342763,141086.57332958604,0.01091540340416217,0.05942068426774139
2021-04-01,2021,Q2,2,5218,89.88514278485768,146044.361278175,0.03514004083866905,0.09572386842711526
2021-07-01,2021,Q3,3,5874,92.66597199884752,150562.62106837097,0.03093758465340407,0.10697348507224246
2021-10-01,2021,Q4,4,5534,92.65171731770658,150539.460224009,-1.538286474901228e-4,0.07864735508950751
2022-01-01,2022,Q1,1,5052,95.4496960048278,155085.584283785,0.03019888641164464,0.0992228432786202
2022-04-01,2022,Q2,2,4996,98.6057614103409,160213.523585205,0.03306522218104767,0.09701957804479704
2022-07-01,2022,Q3,3,5378,102.39046535461588,166362.867659694,0.03838217858817805,0.10494136246570966
2022-10-01,2022,Q4,4,5092,102.00027341551672,165728.88821931,-0.00381082298774392,0.10089997647591945
2023-01-01,2023,Q1,1,4821,100,162478.866643997,-0.01961047111480023,0.04767227330867595
2023-04-01,2023,Q2,2,4762,101.2977289772377,164587.401978323,0.01297728977237696,0.02730030708544869
2023-07-01,2023,Q3,3,5205,104.46059654915584,169726.39336262597,0.03122347957700882,0.02021800748116869
2023-10-01,2023,Q4,4,5081,103.49496677610676,168157.449051399,-0.00924396188561581,0.01465381719616713
2024-01-01,2024,Q1,1,4758,104.05041145210136,169059.92926578998,0.00536687621917126,0.04050411452101372
2024-04-01,2024,Q2,2,4721,107.96372694051676,175418.239919571,0.03760980311180063,0.06580599615196654
2024-07-01,2024,Q3,3,5020,111.07119978208692,180467.226573824,0.02878256364086293,0.06328322306507535
2024-10-01,2024,Q4,4,4726,112.21128771943958,182319.62853318,0.01026447845696656,0.08421975691039209
2025-01-01,2025,Q1,1,4526,113.44357398485216,184321.833291032,0.01098183872992931,0.09027511185839804
2025-04-01,2025,Q2,2,4775,114.14122817932846,185455.373919311,0.00614979033161857,0.05721830297888147
2025-07-01,2025,Q3,3,4913,118.89453114863944,193178.48671200295,0.0416440496140711,0.07043528279068992
2025-10-01,2025,Q4,4,4781,120.59144280538546,195935.609539834,0.01427241135779897,0.07468192600105139
