quarter_start_date,year,quarter,quarter_num,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal,housing_value,housing_regime,is_high_cost_pressure,housing_lag3,housing_lag4,housing_diff_1q,housing_diff_4q,housing_volatility_4q
2009-07-01,2009,Q3,3,82.62834573771453,134253.599681322,0.00265250616035677,-0.15595295770858666,134253.599681322,Medium_Cost,0,145524.783392664,159059.380525582,355.16641909000464,-24805.780844260007,5997.357614188299
2009-10-01,2009,Q4,4,82.703938804115,134376.42243887097,9.148563453082528e-4,-0.07660798864556459,134376.42243887097,Medium_Cost,0,132669.37626242096,145524.783392664,122.82275754897273,-11148.360953793017,780.1737982824039
2010-01-01,2010,Q1,1,79.03900474066926,128421.67910933404,-0.04431389987514585,-0.03201716381544353,128421.67910933404,Medium_Cost,0,133898.433262232,132669.37626242096,-5954.7433295369265,-4247.69715308692,2884.365961494411
2010-04-01,2010,Q2,2,78.34785162550841,127298.701361046,-0.00874445620144826,-0.04928908980032768,127298.701361046,Medium_Cost,0,134253.599681322,133898.433262232,-1122.9777482880454,-6599.7319011859945,3755.12068639199
2010-07-01,2010,Q3,3,76.97832136582946,125073.504116773,-0.01748012525250996,-0.06837876665012542,125073.504116773,Medium_Cost,0,134376.42243887097,134253.599681322,-2225.197244273004,-9180.095564549003,3974.0853314909673
2010-10-01,2010,Q4,4,72.52351078236919,117835.37836963002,-0.05787097593735987,-0.1230948388789347,117835.37836963002,Low_Cost,0,128421.67910933404,134376.42243887097,-7238.125747142971,-16541.044069240947,4756.027467879185
2011-01-01,2011,Q1,1,69.32517376991541,112638.75664034,-0.04410069200940157,-0.12289920657054564,112638.75664034,Low_Cost,0,127298.701361046,128421.67910933404,-5196.6217292900255,-15782.922468994046,6729.526051670715
2011-04-01,2011,Q2,2,68.2293114927992,110858.21203250198,-0.01580756624935826,-0.12914891631074196,110858.21203250198,Low_Cost,0,125073.504116773,127298.701361046,-1780.5446078380191,-16440.48932854402,6376.676281372556
2011-07-01,2011,Q3,3,67.04432189854722,108932.854369913,-0.01736774955404665,-0.1290493127288681,108932.854369913,Low_Cost,0,117835.37836963002,125073.504116773,-1925.3576625889837,-16140.64974686,3824.828034545768
2011-10-01,2011,Q4,4,65.159003522487,105869.610439859,-0.02812047795655427,-0.10154648031287168,105869.610439859,Low_Cost,0,112638.75664034,117835.37836963002,-3063.243930053999,-11965.767929771027,2896.8661569583305
2012-01-01,2012,Q1,1,60.9891078125592,99094.4111501315,-0.0639956949078991,-0.12024587179576258,99094.4111501315,Low_Cost,0,110858.21203250198,112638.75664034,-6775.19928972749,-13544.345490208492,5156.403082240497
2012-04-01,2012,Q2,2,61.14931590666676,99354.7154457094,0.00262683124665366,-0.1037676539778604,99354.7154457094,Low_Cost,0,108932.854369913,110858.21203250198,260.30429557789466,-11503.496586792578,4884.79029012366
2012-07-01,2012,Q3,3,59.45961064146922,96609.3014811925,-0.02763244756125423,-0.11312980789865155,96609.3014811925,Low_Cost,0,105869.610439859,108932.854369913,-2745.4139645169053,-12323.5528887205,3956.864609340259
2012-10-01,2012,Q4,4,58.038946958393765,94301.0232301087,-0.02389291937415803,-0.10927202963802282,94301.0232301087,Low_Cost,0,99094.4111501315,105869.610439859,-2308.2782510838006,-11568.587209750302,2373.9093544156435
2013-01-01,2013,Q1,1,56.74693619524904,92201.7787852327,-0.02226109932819636,-0.06955621699448086,92201.7787852327,Low_Cost,0,99354.7154457094,99094.4111501315,-2099.2444448759925,-6892.632364898804,3074.1236929482443
2013-04-01,2013,Q2,2,57.795933173232385,93906.17718618982,0.01848552623835165,-0.05483925181685921,93906.17718618982,Low_Cost,0,96609.3014811925,99354.7154457094,1704.398400957114,-5448.538259519584,1814.9607502869762
2013-07-01,2013,Q3,3,58.923105552540065,95737.59409321308,0.01950262444814575,-0.0090230171900079,95737.59409321308,Low_Cost,0,94301.0232301087,96609.3014811925,1831.4169070232601,-871.7073879794189,1454.5193413153631
2013-10-01,2013,Q4,4,59.33941503294812,96414.0090187116,0.00706530106490808,0.02240681719271398,96414.0090187116,Low_Cost,0,92201.7787852327,94301.0232301087,676.4149254985241,2112.985788602906,1898.4794986195443
2014-01-01,2014,Q1,1,60.324215239858766,98014.1012336077,0.01659605519137389,0.0630391574322425,98014.1012336077,Low_Cost,0,93906.17718618982,92201.7787852327,1600.0922148960963,5812.322448374995,1700.9474167546125
2014-04-01,2014,Q2,2,62.33980403400293,101289.007062537,0.0334125986741784,0.07861921438574485,101289.007062537,Low_Cost,0,95737.59409321308,93906.17718618982,3274.9058289293025,7382.829876347183,2475.027223411061
2014-07-01,2014,Q3,3,63.55450042235985,103262.631987504,0.01948508512626021,0.07860065803371655,103262.631987504,Low_Cost,0,96414.0090187116,95737.59409321308,1973.6249249670072,7525.03789429093,3101.0323039210803
2014-10-01,2014,Q4,4,64.5060656892874,104808.724448586,0.01497242934180573,0.08706945718070365,104808.724448586,Low_Cost,0,98014.1012336077,96414.0090187116,1546.092461081993,8394.715429874399,2931.339222050702
