quarter_start_date,year,quarter,quarter_num,quarterly_births,emp_rate,emp_at_conception,emp_momentum_lag3,emp_volatility_lag3,emp_regime_at_conception,is_emp_peak_at_conception,he_pct,fe_pct,total_girls,he_at_conception,fe_at_conception,is_edu_covid_grading,ni_house_price_index,standardised_price,quarterly_change_decimal,annual_change_decimal,housing_value,housing_regime,is_high_cost_pressure,housing_lag3,housing_lag4,housing_diff_1q,housing_diff_4q,housing_volatility_4q
2010-04-01,2010,Q2,2,6164,61.6,60.1,-2.6000000000000014,1.067707825203132,Low_Intensity,0,48.5,32.95,11500.75,48.8,32.5,0,78.34785162550841,127298.701361046,-0.00874445620144826,-0.04928908980032768,127298.701361046,Medium_Cost,0,134253.599681322,133898.433262232,-1122.9777482880454,-6599.7319011859945,3755.12068639199
2010-07-01,2010,Q3,3,6535,61.3,60.8,-0.9000000000000057,0.6652067347825016,Low_Intensity,0,48.4,33.1,11444,48.7,32.65,0,76.97832136582946,125073.504116773,-0.01748012525250996,-0.06837876665012542,125073.504116773,Medium_Cost,0,134376.42243887097,134253.599681322,-2225.197244273004,-9180.095564549005,3974.0853314909673
2010-10-01,2010,Q4,4,6613,61.5,61.3,1.5,0.911043357914427,Low_Intensity,0,48.375,32.675,11411.25,48.599999999999994,32.8,0,72.52351078236919,117835.37836963002,-0.05787097593735987,-0.1230948388789347,117835.37836963002,Low_Cost,0,128421.67910933404,134376.42243887097,-7238.125747142971,-16541.044069240947,4756.027467879185
2011-01-01,2011,Q1,1,6185,61.8,61.6,2.3999999999999986,0.6557438524301996,Low_Intensity,0,48.349999999999994,32.25,11378.5,48.5,32.95,0,69.32517376991541,112638.75664034,-0.04410069200940157,-0.12289920657054564,112638.75664034,Low_Cost,0,127298.701361046,128421.67910933404,-5196.6217292900255,-15782.922468994046,6729.526051670715
2011-04-01,2011,Q2,2,6093,63.5,61.3,1.1999999999999955,0.33166247903554147,Low_Intensity,0,48.325,31.825,11345.75,48.4,33.1,0,68.2293114927992,110858.21203250198,-0.01580756624935826,-0.12914891631074196,110858.21203250198,Low_Cost,0,125073.504116773,127298.701361046,-1780.5446078380191,-16440.48932854402,6376.676281372556
2011-07-01,2011,Q3,3,6614,63.4,61.5,0.7000000000000028,0.15000000000000213,Low_Intensity,0,48.3,31.4,11313,48.375,32.675,0,67.04432189854722,108932.854369913,-0.01736774955404665,-0.1290493127288681,108932.854369913,Low_Cost,0,117835.37836963002,125073.504116773,-1925.3576625889837,-16140.64974686,3824.828034545768
2011-10-01,2011,Q4,4,6292,63.7,61.8,0.5,0.2081665999466134,Low_Intensity,0,48.599999999999994,31.875,11273,48.349999999999994,32.25,0,65.159003522487,105869.610439859,-0.02812047795655427,-0.10154648031287168,105869.610439859,Low_Cost,0,112638.75664034,117835.37836963002,-3063.243930053999,-11965.767929771027,2896.8661569583305
2012-01-01,2012,Q1,1,6234,63.5,63.5,1.8999999999999984,1.0045728777279763,Low_Intensity,0,48.9,32.349999999999994,11233,48.325,31.825,0,60.9891078125592,99094.4111501315,-0.0639956949078991,-0.12024587179576258,99094.4111501315,Low_Cost,0,110858.21203250198,112638.75664034,-6775.19928972749,-13544.345490208492,5156.403082240497
2012-04-01,2012,Q2,2,6191,63,63.4,2.1000000000000014,1.0472185381603345,Low_Intensity,0,49.2,32.824999999999996,11193,48.3,31.4,0,61.14931590666676,99354.7154457094,0.00262683124665366,-0.1037676539778604,99354.7154457094,Low_Cost,0,108932.854369913,110858.21203250198,260.30429557789466,-11503.496586792578,4884.79029012366
2012-07-01,2012,Q3,3,6455,63.1,63.7,2.200000000000003,0.875595035770915,Low_Intensity,0,49.5,33.3,11153,48.599999999999994,31.875,0,59.45961064146922,96609.3014811925,-0.02763244756125423,-0.11312980789865155,96609.3014811925,Low_Cost,0,105869.610439859,108932.854369913,-2745.4139645169053,-12323.5528887205,3956.864609340259
2012-10-01,2012,Q4,4,6393,63.7,63.5,1.7000000000000028,0.12583057392118097,Low_Intensity,0,49.3,33.275,11178.5,48.9,32.349999999999994,0,58.038946958393765,94301.0232301087,-0.02389291937415803,-0.10927202963802282,94301.0232301087,Low_Cost,0,99094.4111501315,105869.610439859,-2308.278251083801,-11568.587209750302,2373.9093544156435
2013-01-01,2013,Q1,1,5805,63.2,63,-0.5,0.29439202887759586,Low_Intensity,0,49.1,33.25,11204,49.2,32.824999999999996,0,56.74693619524904,92201.7787852327,-0.02226109932819636,-0.06955621699448086,92201.7787852327,Low_Cost,0,99354.7154457094,99094.4111501315,-2099.2444448759925,-6892.632364898804,3074.1236929482443
2013-04-01,2013,Q2,2,5876,62.1,63.1,-0.29999999999999716,0.33040379335998427,Low_Intensity,0,48.900000000000006,33.225,11229.5,49.5,33.3,0,57.795933173232385,93906.17718618982,0.01848552623835165,-0.05483925181685921,93906.17718618982,Low_Cost,0,96609.3014811925,99354.7154457094,1704.398400957114,-5448.538259519584,1814.960750286976
